1024,1,2,26,1,1,1,42,3,1,1,1,H,4,2578,2481,97,13485,11495,230,230,230,230,0,0,0,0,0,0,0,0,0,0,0,1990,1990,1990,1970,0,0,20,0,0,0,0,1970,0,0,0,10,0,0,0,10,0,13255,10000,10000,0,3255,3255,0,0,0,0,0,0,0,0,0,4537
1025,1,2,26,3,1,1,34,5,1,2,1,N,4,4655,3856,799,19621,12470,6071,6071,6071,50,480,5541,0,0,0,0,0,0,0,0,0,7151,7151,4151,3959,0,0,192,3000,3000,0,0,6259,0,200,0,9,99,0,0,184,400,13255,10000,10000,0,3255,3255,0,0,295,260,35,0,35,0,0,1781
1026,1,2,26,4,1,1,45,3,1,2,1,I,8,3383,3319,64,31523,25265,12113,12113,9113,155,3850,5108,0,0,0,0,3000,0,3000,0,0,6258,6258,6200,6105,0,0,95,58,0,58,0,5248,0,915,0,0,0,0,0,95,0,16510,10000,10000,0,6510,6510,0,0,2900,2800,100,0,100,0,0,1781
1027,3,2,26,2,1,1,83,1,1,2,6,,,961,902,59,19158,14252,200,200,200,80,0,120,0,0,0,0,0,0,0,0,0,4906,1906,1906,1854,0,0,52,0,0,0,3000,1854,0,0,0,32,0,0,0,20,0,18958,10000,10000,0,8958,4958,4000,0,0,0,0,0,0,0,0,1781
1028,1,2,26,4,1,1,66,2,1,2,1,M,9,3967,3878,89,17578,14418,613,613,613,373,240,0,0,0,0,0,0,0,0,0,0,3160,2960,2960,2940,0,0,20,0,0,0,200,2940,0,0,0,0,0,0,0,20,0,16765,12400,10000,2400,4365,4365,0,0,200,200,0,0,0,0,0,1781
1029,1,2,26,4,1,1,49,3,1,2,1,N,3,6458,6399,59,19265,11435,4910,4910,4710,955,0,3755,0,0,0,0,200,0,200,0,0,7830,7830,7830,5737,0,2000,93,0,0,0,0,3877,0,0,0,31,1860,0,0,62,2000,13255,10000,10000,0,3255,3255,0,0,1100,100,1000,0,1000,0,0,1781
103,1,2,48,2,1,1,64,6,1,2,1,O,1,4816,4655,161,300441,267509,10390,10390,7890,1490,4800,1600,2500,2500,0,0,0,0,0,0,0,32932,10932,10932,10712,0,0,220,0,0,0,22000,10712,0,0,0,0,0,0,0,220,0,262151,140000,140000,0,122151,22151,100000,0,27900,1800,26100,23000,3100,0,0,1159
1030,1,2,26,4,1,1,44,3,1,2,1,G,2,4897,4794,103,26061,22365,7561,7561,7121,462,4450,2209,440,440,0,0,0,0,0,0,0,3696,3696,3696,3594,0,0,102,0,0,0,0,3594,0,0,0,0,0,0,0,102,0,17000,10000,10000,0,7000,7000,0,0,1500,1500,0,0,0,0,0,1781
1031,3,2,26,5,5,1,50,3,1,2,6,,,2272,2245,27,140,140,140,140,140,10,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781
1032,2,2,27,2,2,1,60,5,1,2,3,I,8,2870,2843,27,7100,5223,7080,1580,80,80,0,0,1500,1500,0,0,0,0,0,5500,0,1877,1877,1877,1867,0,0,10,0,0,0,0,0,1867,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,20,0,20,0,0,1781
